#UID	CUI
3935	C0013386
3936	C0013388
3937	C0013403
3938	C0013404
3939	C0013418
3940	C0013421
3941	C0013423
3942	C0013426
3943	C0013428
3946	C0013447
3949	C0013467
3953	C0013504
3956	C0013514
3964	C0013578
3966	C0013589
3968	C0013595
3977	C0013658
3992	C0013798
3997	C0013832
4000	C0013846
4009	C0013901
4024	C0014027
4027	C0014038
4028	C0014040
4032	C0014057
4033	C0014059
4034	C0014061
4036	C0014078
4041	C0014117
4043	C0014130
4044	C0014132
4070	C0014274
4075	C0014324
4076	C0014342
4084	C0014437
4087	C0014458
4088	C0014481
4089	C0014487
4090	C0014488
4094	C0010504
4101	C0010557
4106	C0010582
4107	C0010583
4116	C0010644
4119	C0010659
4120	C0010660
4122	C0010678
4123	C0010682
4137	C0010826
4138	C0010828
4147	C0010961
4150	C0010964
4152	C0010975
4155	C0011053
4157	C0011064
4159	C0011082
4161	C0011085
4166	C0011122
4167	C0011148
4169	C0011156
4171	C0011185
4175	C0011202
4182	C0011226
4183	C0011259
4185	C0011279
4186	C0011282
4189	C0011303
4225	C0011548
4226	C0011551
4227	C0011579
4228	C0011580
4229	C0011581
4231	C0011599
4233	C0011603
4235	C0011625
4237	C0011640
4238	C0011645
4241	C0011689
4244	C0011710
4247	C0011796
4248	C0011798
4249	C0011799
4250	C0011802
4251	C0011803
4252	C0011804
4254	C0011812
4255	C0011813
4256	C0011859
4257	C0011875
4268	C0011989
4272	C0012020
4273	C0012059
4276	C0012066
4278	C0012091
4282	C0012118
4284	C0012131
4285	C0012132
4286	C0012133
4287	C0012154
4289	C0012156
4292	C0012186
4293	C0012192
4294	C0012194
4295	C0012197
4297	C0012236
4298	C0012264
4299	C0012265
4302	C0012288
4303	C0012290
4304	C0012291
4305	C0012305
4306	C0012306
4308	C0012322
4310	C0012328
4311	C0012341
4313	C0012383
4314	C0012384
4315	C0012385
4316	C0012386
4317	C0012393
4324	C0012447
4326	C0012482
4327	C0012484
4329	C0012517
4330	C0012522
4332	C0012525
4334	C0012546
4335	C0012547
4336	C0012557
4337	C0012558
4338	C0012559
4340	C0012582
4344	C0012602
4347	C0012634
4357	C0012798
4359	C0012817
4360	C0012833
4377	C0013007
4378	C0013023
4380	C0013036
4384	C0013076
4385	C0013080
4386	C0013081
4390	C0013144
4405	C0013220
4407	C0013222
4408	C0013229
4409	C0013231
4410	C0013232
4411	C0013238
4412	C0013254
4413	C0013261
4415	C0013274
4417	C0013292
4419	C0013298
4420	C0013299
4421	C0013326
4423	C0013333
4427	C0013360
4428	C0013378
4429	C0013390
4430	C0013393
4431	C0013449
4434	C0013473
4435	C0013481
4438	C0013502
4439	C0013505
4443	C0013537
4447	C0013591
4448	C0013592
4451	C0013604
4452	C0013608
4453	C0013609
4455	C0013615
4456	C0013616
4469	C0013668
4479	C0013743
4500	C0014493
4501	C0014518
4502	C0014521
4504	C0014536
4505	C0014541
4506	C0014544
4507	C0014548
4508	C0014558
4509	C0014561
4510	C0014571
4517	C0014661
4520	C0014695
4521	C0014704
4522	C0014707
4523	C0014710
4524	C0014724
4526	C0014740
4527	C0014742
4528	C0014745
4529	C0014752
4530	C0014761
4536	C0014800
4543	C0014836
4545	C0014850
4546	C0014856
4547	C0014859
4548	C0014863
4549	C0014868
4550	C0014877
4551	C0014912
4553	C0014919
4555	C0014927
4558	C0014941
4560	C0014960
4564	C0014996
4570	C0015037
4571	C0015039
4572	C0015041
4574	C0015051
4575	C0015058
4578	C0015075
4584	C0015099
4586	C0015109
4587	C0015117
4588	C0015120
4589	C0015137
4591	C0015153
4606	C0015263
4612	C0015306
4613	C0015310
4623	C0015393
4625	C0015402
4626	C0015404
4632	C0015480
4633	C0015499
4634	C0015505
4635	C0015519
4639	C0015530
4643	C0015565
4653	C0015624
4655	C0015632
4656	C0015637
4657	C0015643
4658	C0015645
4661	C0015667
4666	C0015696
4667	C0015702
4668	C0015707
4674	C0015773
4675	C0015777
4678	C0015821
4679	C0015838
4680	C0015846
4687	C0015897
4688	C0015902
4693	C0015934
4698	C0016037
4700	C0016052
4701	C0016061
4702	C0016063
4706	C0016085
4707	C0016090
4720	C0016186
4725	C0016229
4726	C0016231
4728	C0016245
4733	C0016294
4734	C0016296
4735	C0016301
4743	C0016344
4745	C0016366
4746	C0016370
4747	C0016377
4748	C0016384
4751	C0016429
4752	C0016436
4762	C0016508
4763	C0016513
4768	C0016546
4769	C0016549
4772	C0016562
4773	C0016564
4777	C0016579
4780	C0016595
4793	C0016712
4794	C0016722
4795	C0016724
4797	C0016745
4800	C0016781
4805	C0016848
4807	C0016860
4808	C0016873
4816	C0016971
4819	C0016986
4826	C0017057
4827	C0017058
4830	C0017076
4831	C0017078
4832	C0017082
4843	C0017152
4844	C0017155
4846	C0017185
4861	C0017302
4866	C0017327
4879	C0017407
4886	C0017495
4888	C0017505
4891	C0017551
4894	C0017566
4895	C0017574
4897	C0017600
4898	C0017609
4899	C0017639
4900	C0017642
4903	C0017653
4904	C0017668
4905	C0017671
4908	C0017689
4909	C0013877
4911	C0013895
4912	C0013900
4916	C0013922
4921	C0013973
4922	C0013974
4925	C0013990
4928	C0014013
4929	C0014014
4930	C0014037
4931	C0014053
4932	C0014054
4933	C0014055
4934	C0014065
4935	C0014067
4936	C0014068
4937	C0014077
4940	C0014118
4941	C0014126
4942	C0014127
4954	C0014238
4959	C0014270
4964	C0014335
4966	C0014356
4968	C0014371
4976	C0014439
4979	C0014461
4980	C0014479
4983	C0014531
4986	C0014534
4987	C0014549
4988	C0014550
4989	C0014553
4990	C0014556
4993	C0014563
4994	C0014583
4996	C0014591
4998	C0014614
5010	C0014705
5011	C0014708
5014	C0014747
5015	C0014758
5019	C0014799
5022	C0014839
5023	C0014848
5025	C0014854
5026	C0014866
5027	C0014867
5028	C0014869
5032	C0014892
5036	C0014915
5037	C0014930
5039	C0014958
5046	C0015029
5048	C0015042
5049	C0015043
5076	C0015288
5078	C0015291
5092	C0015397
5095	C0015414
5099	C0015467
5100	C0015468
5101	C0015469
5107	C0015528
5120	C0015627
5124	C0015644
5125	C0015656
5129	C0015663
5130	C0015674
5132	C0015677
5133	C0015689
5141	C0015772
5146	C0015799
5149	C0015820
5150	C0015837
5151	C0015852
5158	C0015896
5159	C0015898
5160	C0015900
5164	C0015930
5166	C0015951
5169	C0015967
5171	C0015980
5172	C0015982
5173	C0015996
5176	C0016016
5178	C0016057
5179	C0016059
5180	C0016065
5183	C0016089
5201	C0016169
5204	C0016196
5207	C0016199
5208	C0016204
5212	C0016225
5217	C0016242
5218	C0016277
5219	C0016293
5220	C0016302
5221	C0016304
5229	C0016360
5230	C0016374
5231	C0016375
5232	C0016380
5233	C0016381
5234	C0016382
5235	C0016383
5236	C0016398
5237	C0016399
5272	C0016689
5276	C0016719
5286	C0016778
5288	C0016788
5291	C0016831
5293	C0016842
5295	C0016879
5297	C0016911
5314	C0017048
5315	C0017054
5328	C0017782
5329	C0017797
5335	C0017861
5338	C0017903
5340	C0017921
5341	C0017924
5342	C0017926
5349	C0017976
5351	C0017984
5354	C0018015
5357	C0018022
5358	C0018029
5359	C0018033
5361	C0018054
5362	C0018066
5369	C0018128
5376	C0018188
5377	C0018203
5380	C0018218
5389	C0018273
5392	C0018304
5394	C0018316
5395	C0018318
5399	C0018378
5403	C0018413
5404	C0018433
5414	C0018522
5415	C0018528
5416	C0018536
5420	C0018553
5436	C0018675
5453	C0018772
5454	C0018779
5456	C0018790
5458	C0018799
5459	C0018800
5463	C0018824
5465	C0018834
5469	C0018852
5477	C0018916
5478	C0018922
5479	C0018924
5480	C0018929
5481	C0018932
